order_id,month,city,category,quantity,unit_price,discount,customer_age,rating,revenue,month_dt
ORD0001,2024-11,Hanoi,Electronics,9,527.54,5,65,1.4,4510.47,2024-11-01
ORD0002,2024-12,Hue,Electronics,19,872.75,0,23,1.9,16582.25,2024-12-01
ORD0003,2024-09,Hue,Electronics,18,437.73,20,44,1.9,6303.31,2024-09-01
ORD0004,2024-10,Da Nang,Electronics,6,1411.37,10,35,1.6,7621.4,2024-10-01
ORD0005,2024-06,Hanoi,Electronics,13,238.6,10,56,2.1,2791.62,2024-06-01
ORD0006,2024-01,Can Tho,Sports,4,1947.58,15,23,3.2,6621.77,2024-01-01
ORD0007,2024-11,Hue,Food,19,424.96,0,20,3.6,8074.24,2024-11-01
ORD0008,2024-05,Hanoi,Clothing,4,791.25,15,58,4.3,2690.25,2024-05-01
ORD0009,2024-03,Da Nang,Food,7,1356.84,0,56,3.5,9497.88,2024-03-01
ORD0010,2024-09,HCMC,Clothing,15,789.94,20,32,3.7,9479.28,2024-09-01
ORD0011,2024-01,HCMC,Electronics,11,832.27,0,31,4.7,9154.97,2024-01-01
ORD0012,2024-10,Da Nang,Clothing,16,821.48,15,27,2.1,11172.13,2024-10-01
ORD0013,2024-04,Hue,Sports,9,1506.68,15,55,2.6,11526.1,2024-04-01
ORD0014,2024-04,HCMC,Sports,16,227.27,0,25,1.6,3636.32,2024-04-01
ORD0015,2024-03,Can Tho,Sports,3,800.3,20,47,3.1,1920.72,2024-03-01
ORD0016,2024-09,Hanoi,Electronics,18,1514.21,10,25,2.2,24530.2,2024-09-01
ORD0017,2024-03,Can Tho,Electronics,9,1945.18,5,50,4.7,16631.29,2024-03-01
ORD0018,2024-11,Da Nang,Sports,20,437.88,10,28,3.2,7881.84,2024-11-01
ORD0019,2024-09,Hanoi,Sports,11,1002.78,0,41,4.5,11030.58,2024-09-01
ORD0020,2024-05,HCMC,Electronics,8,1762.12,0,23,3.9,14096.96,2024-05-01
ORD0021,2024-02,Hue,Clothing,5,1336.51,20,28,2.1,5346.04,2024-02-01
ORD0022,2024-10,Can Tho,Clothing,18,1522.77,5,63,2.2,26039.37,2024-10-01
ORD0023,2024-11,Da Nang,Books,17,930.4,5,32,1.3,15025.96,2024-11-01
ORD0024,2024-01,Hue,Sports,8,1197.46,0,22,3.8,9579.68,2024-01-01
ORD0025,2024-01,HCMC,Electronics,2,1726.29,0,50,2.0,3452.58,2024-01-01
ORD0026,2024-11,Can Tho,Clothing,18,308.01,20,54,2.9,4435.34,2024-11-01
ORD0027,2024-08,Can Tho,Clothing,4,239.02,15,40,2.7,812.67,2024-08-01
ORD0028,2024-08,Hanoi,Electronics,2,835.11,10,24,2.0,1503.2,2024-08-01
ORD0029,2024-04,Hue,Books,5,872.67,10,47,2.0,3927.01,2024-04-01
ORD0030,2024-02,Can Tho,Sports,4,148.65,20,18,4.9,475.68,2024-02-01
ORD0031,2024-04,HCMC,Books,16,988.65,15,21,1.7,13445.64,2024-04-01
ORD0032,2024-01,Can Tho,Food,15,606.24,20,60,3.9,7274.88,2024-01-01
ORD0033,2024-03,HCMC,Food,7,1938.98,20,65,3.2,10858.29,2024-03-01
ORD0034,2024-12,Da Nang,Electronics,2,1189.15,20,51,1.6,1902.64,2024-12-01
ORD0035,2024-09,Hanoi,Clothing,3,1210.32,5,43,1.5,3449.41,2024-09-01
ORD0036,2024-10,HCMC,Sports,20,127.5,0,44,3.6,2550.0,2024-10-01
ORD0037,2024-10,Hue,Food,9,448.31,10,33,2.1,3631.31,2024-10-01
ORD0038,2024-03,Da Nang,Books,11,1861.59,0,18,2.8,20477.49,2024-03-01
ORD0039,2024-10,Hanoi,Electronics,18,465.65,10,26,4.7,7543.53,2024-10-01
ORD0040,2024-02,HCMC,Food,10,357.61,20,63,2.2,2860.88,2024-02-01
ORD0041,2024-11,Hue,Electronics,18,633.79,0,26,2.1,11408.22,2024-11-01
ORD0042,2024-02,Hue,Clothing,9,599.42,5,63,2.4,5125.04,2024-02-01
ORD0043,2024-11,Da Nang,Sports,16,539.69,0,23,3.5,8635.04,2024-11-01
ORD0044,2024-05,Hanoi,Electronics,11,1553.68,10,28,4.0,15381.43,2024-05-01
ORD0045,2024-09,Can Tho,Sports,1,268.15,5,52,1.1,254.74,2024-09-01
ORD0046,2024-06,Hue,Sports,5,888.08,0,37,2.5,4440.4,2024-06-01
ORD0047,2024-01,Da Nang,Clothing,8,1350.52,10,53,4.5,9723.74,2024-01-01
ORD0048,2024-07,Hue,Clothing,8,1735.98,5,44,1.1,13193.45,2024-07-01
ORD0049,2024-12,Da Nang,Books,8,570.27,0,42,4.5,4562.16,2024-12-01
ORD0050,2024-08,HCMC,Clothing,15,731.83,5,32,1.1,10428.58,2024-08-01
ORD0051,2024-04,Can Tho,Food,9,1735.49,10,40,3.6,14057.47,2024-04-01
ORD0052,2024-07,Hue,Food,1,274.92,10,29,3.3,247.43,2024-07-01
ORD0053,2024-05,Hanoi,Electronics,20,897.4,10,45,3.4,16153.2,2024-05-01
ORD0054,2024-09,Hanoi,Books,19,420.65,0,63,2.7,7992.35,2024-09-01
ORD0055,2024-09,Hue,Clothing,12,891.03,10,57,2.3,9623.12,2024-09-01
ORD0056,2024-02,Da Nang,Sports,10,1350.44,10,43,3.8,12153.96,2024-02-01
ORD0057,2024-09,HCMC,Clothing,14,1346.61,15,61,4.0,16024.66,2024-09-01
ORD0058,2024-03,Hue,Sports,10,841.85,0,37,2.1,8418.5,2024-03-01
ORD0059,2024-07,Hue,Sports,11,956.73,15,61,1.9,8945.43,2024-07-01
ORD0060,2024-08,HCMC,Electronics,10,1055.13,20,39,1.4,8441.04,2024-08-01
ORD0061,2024-04,Da Nang,Clothing,7,337.34,0,33,4.9,2361.38,2024-04-01
ORD0062,2024-10,Hanoi,Books,14,1777.97,20,30,3.9,19913.26,2024-10-01
ORD0063,2024-07,Can Tho,Books,8,337.76,0,24,4.1,2702.08,2024-07-01
ORD0064,2024-04,HCMC,Sports,15,147.93,5,25,2.8,2108.0,2024-04-01
ORD0065,2024-08,Hue,Sports,20,668.73,15,57,4.3,11368.41,2024-08-01
ORD0066,2024-09,Can Tho,Sports,15,1799.56,15,46,2.0,22944.39,2024-09-01
ORD0067,2024-04,Da Nang,Sports,16,1272.16,10,46,1.3,18319.1,2024-04-01
ORD0068,2024-05,HCMC,Food,11,673.43,20,23,1.6,5926.18,2024-05-01
ORD0069,2024-04,Can Tho,Clothing,7,175.25,15,39,3.2,1042.74,2024-04-01
ORD0070,2024-07,Hanoi,Clothing,14,809.48,20,62,1.1,9066.18,2024-07-01
ORD0071,2024-10,Can Tho,Books,1,1888.35,10,42,4.4,1699.52,2024-10-01
ORD0072,2024-07,Hue,Sports,20,1800.73,15,32,2.1,30612.41,2024-07-01
ORD0073,2024-08,Hanoi,Books,11,1354.3,15,64,1.7,12662.7,2024-08-01
ORD0074,2024-08,HCMC,Sports,18,102.58,15,55,3.3,1569.47,2024-08-01
ORD0075,2024-01,Hanoi,Books,5,1740.36,5,21,2.0,8266.71,2024-01-01
ORD0076,2024-06,HCMC,Books,11,708.13,15,35,4.0,6621.02,2024-06-01
ORD0077,2024-07,Da Nang,Electronics,16,87.8,20,21,5.0,1123.84,2024-07-01
ORD0078,2024-06,HCMC,Electronics,2,1520.75,5,30,4.4,2889.42,2024-06-01
ORD0079,2024-10,HCMC,Clothing,5,973.44,0,54,4.8,4867.2,2024-10-01
ORD0080,2024-08,Da Nang,Food,6,1231.49,0,28,4.9,7388.94,2024-08-01
ORD0081,2024-02,Hue,Electronics,10,1172.8,15,43,4.8,9968.8,2024-02-01
ORD0082,2024-04,Hanoi,Sports,8,248.71,10,61,3.4,1790.71,2024-04-01
ORD0083,2024-02,Hue,Electronics,12,1088.85,10,22,3.0,11759.58,2024-02-01
ORD0084,2024-06,Hanoi,Books,16,255.8,10,58,4.6,3683.52,2024-06-01
ORD0085,2024-08,HCMC,Books,6,1480.9,10,57,4.2,7996.86,2024-08-01
ORD0086,2024-09,Can Tho,Books,14,1660.18,20,35,2.3,18594.02,2024-09-01
ORD0087,2024-04,Hanoi,Food,15,525.53,15,54,3.4,6700.51,2024-04-01
ORD0088,2024-07,Da Nang,Electronics,16,1709.36,5,49,1.8,25982.27,2024-07-01
ORD0089,2024-05,Da Nang,Food,20,1417.31,10,53,1.0,25511.58,2024-05-01
ORD0090,2024-04,Hanoi,Clothing,14,1002.73,5,62,2.9,13336.31,2024-04-01
ORD0091,2024-12,Can Tho,Books,1,231.45,5,43,3.8,219.88,2024-12-01
ORD0092,2024-05,Hue,Food,16,1129.27,10,45,5.0,16261.49,2024-05-01
ORD0093,2024-09,Da Nang,Food,15,578.29,10,32,1.5,7806.91,2024-09-01
ORD0094,2024-04,Da Nang,Electronics,18,1904.21,5,30,1.9,32561.99,2024-04-01
ORD0095,2024-08,Da Nang,Sports,17,1213.74,0,30,2.2,20633.58,2024-08-01
ORD0096,2024-06,HCMC,Food,1,1430.64,5,35,1.2,1359.11,2024-06-01
ORD0097,2024-01,Hue,Food,5,1293.85,15,24,4.5,5498.86,2024-01-01
ORD0098,2024-10,Da Nang,Books,16,908.91,5,21,2.0,13815.43,2024-10-01
ORD0099,2024-08,Hanoi,Electronics,13,1008.91,20,58,3.7,10492.66,2024-08-01
ORD0100,2024-03,HCMC,Sports,10,216.1,5,25,3.2,2052.95,2024-03-01
ORD0101,2024-07,Hue,Sports,20,490.09,20,42,2.8,7841.44,2024-07-01
ORD0102,2024-08,Da Nang,Sports,14,645.49,20,21,3.4,7229.49,2024-08-01
ORD0103,2024-12,Hanoi,Clothing,7,566.06,0,28,2.0,3962.42,2024-12-01
ORD0104,2024-09,Hanoi,Clothing,1,846.61,20,48,2.2,677.29,2024-09-01
ORD0105,2024-04,Da Nang,Food,15,188.8,5,34,4.2,2690.4,2024-04-01
ORD0106,2024-11,Hue,Clothing,14,273.81,5,59,1.6,3641.67,2024-11-01
ORD0107,2024-05,HCMC,Electronics,2,373.55,10,56,4.0,672.39,2024-05-01
ORD0108,2024-10,Da Nang,Books,4,963.96,10,62,2.6,3470.26,2024-10-01
ORD0109,2024-05,Hue,Sports,16,903.63,20,20,4.6,11566.46,2024-05-01
ORD0110,2024-12,Da Nang,Sports,9,100.44,5,61,4.3,858.76,2024-12-01
ORD0111,2024-10,Hue,Electronics,9,1173.68,5,48,3.1,10034.96,2024-10-01
ORD0112,2024-08,Da Nang,Clothing,19,899.98,15,23,2.9,14534.68,2024-08-01
ORD0113,2024-07,Da Nang,Food,4,1722.58,10,44,3.8,6201.29,2024-07-01
ORD0114,2024-05,Can Tho,Sports,2,936.91,10,34,2.3,1686.44,2024-05-01
ORD0115,2024-07,Hue,Electronics,18,950.85,0,30,3.1,17115.3,2024-07-01
ORD0116,2024-10,Can Tho,Books,2,446.94,20,26,4.7,715.1,2024-10-01
ORD0117,2024-08,Can Tho,Electronics,1,1947.64,20,33,3.8,1558.11,2024-08-01
ORD0118,2024-05,Hue,Electronics,18,845.58,5,25,2.8,14459.42,2024-05-01
ORD0119,2024-02,HCMC,Books,10,1042.3,10,44,4.3,9380.7,2024-02-01
ORD0120,2024-08,HCMC,Books,18,332.05,5,56,3.0,5678.06,2024-08-01
ORD0121,2024-03,Hanoi,Food,14,712.76,20,35,4.3,7982.91,2024-03-01
ORD0122,2024-05,Da Nang,Sports,19,1997.86,15,27,2.8,32265.44,2024-05-01
ORD0123,2024-08,Da Nang,Food,18,1537.6,15,47,4.7,23525.28,2024-08-01
ORD0124,2024-04,HCMC,Sports,13,505.45,15,20,2.3,5585.22,2024-04-01
ORD0125,2024-08,Can Tho,Books,5,1015.89,0,26,3.0,5079.45,2024-08-01
ORD0126,2024-10,Da Nang,Electronics,15,244.44,15,18,3.9,3116.61,2024-10-01
ORD0127,2024-07,HCMC,Electronics,16,1573.97,10,39,3.5,22665.17,2024-07-01
ORD0128,2024-07,Hanoi,Food,18,791.02,10,58,3.9,12814.52,2024-07-01
ORD0129,2024-08,Hue,Electronics,20,183.42,10,32,4.0,3301.56,2024-08-01
ORD0130,2024-07,Hanoi,Electronics,15,374.41,10,19,1.2,5054.54,2024-07-01
ORD0131,2024-01,Da Nang,Food,12,889.84,5,51,2.6,10144.18,2024-01-01
ORD0132,2024-11,HCMC,Clothing,6,203.99,15,57,3.7,1040.35,2024-11-01
ORD0133,2024-08,Hue,Clothing,8,949.24,10,47,2.0,6834.53,2024-08-01
ORD0134,2024-01,Can Tho,Food,18,358.05,15,40,5.0,5478.16,2024-01-01
ORD0135,2024-05,Can Tho,Food,15,1698.34,5,42,4.4,24201.34,2024-05-01
ORD0136,2024-02,HCMC,Books,19,749.97,10,62,2.2,12824.49,2024-02-01
ORD0137,2024-11,Can Tho,Food,1,1153.56,0,56,4.0,1153.56,2024-11-01
ORD0138,2024-05,HCMC,Sports,12,477.06,5,57,2.0,5438.48,2024-05-01
ORD0139,2024-12,HCMC,Electronics,2,652.42,15,20,3.3,1109.11,2024-12-01
ORD0140,2024-12,HCMC,Electronics,10,687.1,15,29,1.8,5840.35,2024-12-01
ORD0141,2024-09,Da Nang,Sports,17,1831.3,5,34,4.7,29575.5,2024-09-01
ORD0142,2024-08,Da Nang,Food,4,963.25,0,27,4.0,3853.0,2024-08-01
ORD0143,2024-04,Can Tho,Sports,12,226.09,15,18,2.1,2306.12,2024-04-01
ORD0144,2024-02,Can Tho,Food,9,1189.89,10,24,3.7,9638.11,2024-02-01
ORD0145,2024-08,Hanoi,Sports,18,689.61,20,32,3.6,9930.38,2024-08-01
ORD0146,2024-11,Can Tho,Food,14,277.52,0,20,2.2,3885.28,2024-11-01
ORD0147,2024-08,Hanoi,Electronics,8,1780.16,5,42,2.8,13529.22,2024-08-01
ORD0148,2024-11,Hue,Books,19,1497.42,5,44,3.6,27028.43,2024-11-01
ORD0149,2024-08,Hue,Books,9,113.8,10,31,2.8,921.78,2024-08-01
ORD0150,2024-04,Da Nang,Electronics,12,1111.71,10,21,2.6,12006.47,2024-04-01
ORD0151,2024-04,Hanoi,Books,3,1342.4,20,19,1.2,3221.76,2024-04-01
ORD0152,2024-06,HCMC,Clothing,19,450.15,20,31,3.3,6842.28,2024-06-01
ORD0153,2024-04,Da Nang,Clothing,20,55.53,5,26,3.2,1055.07,2024-04-01
ORD0154,2024-03,Hanoi,Electronics,5,78.98,5,55,2.3,375.16,2024-03-01
ORD0155,2024-03,Da Nang,Electronics,5,1496.35,20,25,4.0,5985.4,2024-03-01
ORD0156,2024-08,Can Tho,Food,17,1207.65,15,50,1.9,17450.54,2024-08-01
ORD0157,2024-10,Hanoi,Sports,10,943.18,0,21,5.0,9431.8,2024-10-01
ORD0158,2024-07,Can Tho,Electronics,16,1439.18,15,22,4.6,19572.85,2024-07-01
ORD0159,2024-06,Hue,Clothing,3,296.07,20,58,3.3,710.57,2024-06-01
ORD0160,2024-12,Da Nang,Books,20,1084.59,15,50,3.4,18438.03,2024-12-01
ORD0161,2024-02,Hanoi,Sports,7,888.64,5,44,2.4,5909.46,2024-02-01
ORD0162,2024-08,Can Tho,Books,4,659.47,10,60,2.0,2374.09,2024-08-01
ORD0163,2024-03,Can Tho,Electronics,3,1671.96,0,45,1.4,5015.88,2024-03-01
ORD0164,2024-12,Da Nang,Clothing,18,166.96,20,53,2.3,2404.22,2024-12-01
ORD0165,2024-02,Can Tho,Food,14,1742.78,0,36,3.4,24398.92,2024-02-01
ORD0166,2024-06,Hanoi,Sports,17,464.84,15,32,4.4,6716.94,2024-06-01
ORD0167,2024-06,Hue,Food,4,1537.08,20,32,4.2,4918.66,2024-06-01
ORD0168,2024-09,Hue,Sports,18,101.19,10,19,1.7,1639.28,2024-09-01
ORD0169,2024-12,Da Nang,Food,12,61.91,5,54,3.6,705.77,2024-12-01
ORD0170,2024-02,HCMC,Electronics,3,1504.92,5,42,2.7,4289.02,2024-02-01
ORD0171,2024-06,HCMC,Food,10,1457.11,20,56,1.3,11656.88,2024-06-01
ORD0172,2024-01,HCMC,Clothing,20,147.04,0,35,2.8,2940.8,2024-01-01
ORD0173,2024-07,Can Tho,Sports,15,857.66,5,50,1.5,12221.66,2024-07-01
ORD0174,2024-07,Hanoi,Food,19,998.93,10,20,1.9,17081.7,2024-07-01
ORD0175,2024-10,Hanoi,Electronics,7,637.77,5,26,4.1,4241.17,2024-10-01
ORD0176,2024-05,Da Nang,Electronics,1,1019.9,15,29,1.5,866.92,2024-05-01
ORD0177,2024-09,HCMC,Sports,18,1675.04,10,22,2.6,27135.65,2024-09-01
ORD0178,2024-12,Hanoi,Books,1,946.52,0,38,3.3,946.52,2024-12-01
ORD0179,2024-10,Can Tho,Books,10,274.59,0,38,1.7,2745.9,2024-10-01
ORD0180,2024-10,Can Tho,Food,3,901.59,0,33,2.7,2704.77,2024-10-01
ORD0181,2024-07,Hue,Electronics,13,1747.52,10,32,2.3,20445.98,2024-07-01
ORD0182,2024-03,Hanoi,Sports,4,1084.68,5,40,2.4,4121.78,2024-03-01
ORD0183,2024-11,HCMC,Clothing,4,335.57,5,29,3.4,1275.17,2024-11-01
ORD0184,2024-11,Hanoi,Clothing,16,954.71,20,55,2.8,12220.29,2024-11-01
ORD0185,2024-10,Hue,Food,11,344.37,0,48,2.8,3788.07,2024-10-01
ORD0186,2024-05,Da Nang,Sports,2,736.29,0,37,2.8,1472.58,2024-05-01
ORD0187,2024-01,Hanoi,Food,10,199.63,0,57,3.4,1996.3,2024-01-01
ORD0188,2024-07,Can Tho,Sports,18,1910.75,0,46,4.6,34393.5,2024-07-01
ORD0189,2024-10,HCMC,Food,20,977.48,5,21,2.8,18572.12,2024-10-01
ORD0190,2024-06,Hanoi,Sports,6,126.33,15,46,3.1,644.28,2024-06-01
ORD0191,2024-10,HCMC,Food,12,1839.98,15,44,4.1,18767.8,2024-10-01
ORD0192,2024-11,Hue,Electronics,11,178.53,0,53,3.7,1963.83,2024-11-01
ORD0193,2024-05,Da Nang,Sports,5,700.06,20,60,1.6,2800.24,2024-05-01
ORD0194,2024-06,Da Nang,Books,5,1210.33,0,37,3.2,6051.65,2024-06-01
ORD0195,2024-11,Da Nang,Clothing,17,232.23,15,50,2.4,3355.72,2024-11-01
ORD0196,2024-06,Da Nang,Clothing,7,716.38,15,30,1.9,4262.46,2024-06-01
ORD0197,2024-03,HCMC,Electronics,10,1696.64,0,50,4.1,16966.4,2024-03-01
ORD0198,2024-12,Hue,Electronics,11,1758.97,20,26,3.4,15478.94,2024-12-01
ORD0199,2024-03,HCMC,Clothing,20,1627.64,5,64,2.8,30925.16,2024-03-01
ORD0200,2024-07,Da Nang,Clothing,15,1240.66,15,32,3.1,15818.42,2024-07-01
ORD0201,2024-05,Can Tho,Clothing,12,1372.7,20,46,2.8,13177.92,2024-05-01
ORD0202,2024-05,Can Tho,Sports,17,866.39,5,30,4.2,13992.2,2024-05-01
ORD0203,2024-03,Da Nang,Electronics,16,1754.53,20,24,3.8,22457.98,2024-03-01
ORD0204,2024-09,Hanoi,Food,3,1538.08,10,46,4.6,4152.82,2024-09-01
ORD0205,2024-03,Can Tho,Electronics,8,1642.57,10,19,2.7,11826.5,2024-03-01
ORD0206,2024-07,Hue,Food,8,803.02,0,41,1.9,6424.16,2024-07-01
ORD0207,2024-06,Hanoi,Food,5,318.32,10,48,3.8,1432.44,2024-06-01
ORD0208,2024-03,Can Tho,Books,20,60.24,0,19,2.0,1204.8,2024-03-01
ORD0209,2024-03,Hue,Sports,17,875.35,10,33,2.2,13392.86,2024-03-01
ORD0210,2024-01,HCMC,Books,20,941.37,0,49,3.4,18827.4,2024-01-01
ORD0211,2024-01,Hue,Sports,8,1451.16,10,45,1.0,10448.35,2024-01-01
ORD0212,2024-06,HCMC,Sports,14,415.26,0,51,4.9,5813.64,2024-06-01
ORD0213,2024-02,Hue,Sports,17,1583.5,20,53,1.1,21535.6,2024-02-01
ORD0214,2024-08,Hanoi,Books,12,544.62,0,40,4.2,6535.44,2024-08-01
ORD0215,2024-06,HCMC,Electronics,19,1483.61,10,26,1.2,25369.73,2024-06-01
ORD0216,2024-09,Da Nang,Clothing,15,1962.6,15,58,1.7,25023.15,2024-09-01
ORD0217,2024-03,Hanoi,Books,2,622.21,0,30,4.5,1244.42,2024-03-01
ORD0218,2024-06,Da Nang,Sports,13,1978.79,20,48,2.0,20579.42,2024-06-01
ORD0219,2024-11,HCMC,Food,12,1731.17,0,59,2.3,20774.04,2024-11-01
ORD0220,2024-02,Da Nang,Books,13,1499.45,15,39,4.9,16568.92,2024-02-01
ORD0221,2024-08,Can Tho,Food,17,570.11,0,64,2.7,9691.87,2024-08-01
ORD0222,2024-07,Hue,Clothing,18,622.84,0,23,2.3,11211.12,2024-07-01
ORD0223,2024-05,Da Nang,Books,20,1449.44,5,62,2.8,27539.36,2024-05-01
ORD0224,2024-08,Hanoi,Food,20,1996.39,10,58,4.9,35935.02,2024-08-01
ORD0225,2024-01,Hanoi,Books,12,1050.52,5,19,1.6,11975.93,2024-01-01
ORD0226,2024-10,Can Tho,Electronics,5,181.11,10,41,2.5,815.0,2024-10-01
ORD0227,2024-10,Hanoi,Sports,5,1374.17,10,41,2.8,6183.76,2024-10-01
ORD0228,2024-02,Hue,Clothing,17,765.55,10,59,2.1,11712.92,2024-02-01
ORD0229,2024-02,Hanoi,Clothing,16,1059.6,20,25,2.0,13562.88,2024-02-01
ORD0230,2024-05,Can Tho,Clothing,20,606.87,15,30,1.5,10316.79,2024-05-01
ORD0231,2024-02,Can Tho,Clothing,15,1994.66,10,60,2.4,26927.91,2024-02-01
ORD0232,2024-02,Hue,Sports,10,1788.1,5,63,3.8,16986.95,2024-02-01
ORD0233,2024-12,HCMC,Food,17,487.27,5,26,1.9,7869.41,2024-12-01
ORD0234,2024-08,Hanoi,Food,18,1165.94,15,53,1.5,17838.88,2024-08-01
ORD0235,2024-02,Hanoi,Food,13,1999.21,15,51,2.6,22091.27,2024-02-01
ORD0236,2024-07,Hue,Electronics,5,1946.14,0,46,2.9,9730.7,2024-07-01
ORD0237,2024-09,Da Nang,Clothing,18,1297.6,5,26,2.7,22188.96,2024-09-01
ORD0238,2024-01,Hanoi,Sports,5,643.04,5,38,4.7,3054.44,2024-01-01
ORD0239,2024-04,Da Nang,Sports,10,1699.57,10,30,3.5,15296.13,2024-04-01
ORD0240,2024-09,Da Nang,Clothing,10,1248.14,0,50,3.6,12481.4,2024-09-01
ORD0241,2024-10,Hue,Clothing,6,1334.53,20,39,4.4,6405.74,2024-10-01
ORD0242,2024-10,Hanoi,Electronics,3,138.65,20,34,3.6,332.76,2024-10-01
ORD0243,2024-10,Can Tho,Sports,1,1021.17,20,36,3.6,816.94,2024-10-01
ORD0244,2024-05,Can Tho,Clothing,13,630.0,0,62,1.2,8190.0,2024-05-01
ORD0245,2024-08,Can Tho,Books,15,447.84,20,27,2.3,5374.08,2024-08-01
ORD0246,2024-12,Da Nang,Food,13,304.99,10,50,3.2,3568.38,2024-12-01
ORD0247,2024-06,HCMC,Books,4,571.57,5,27,1.4,2171.97,2024-06-01
ORD0248,2024-05,Can Tho,Sports,14,534.13,5,38,4.7,7103.93,2024-05-01
ORD0249,2024-12,Da Nang,Clothing,6,1021.62,20,47,3.0,4903.78,2024-12-01
